symbol	ensg
IFFO1	ENSG00000010295
PHF7	ENSG00000010318
SEMA3G	ENSG00000010319
NISCH	ENSG00000010322
STAB1	ENSG00000010327
FUZ	ENSG00000010361
IDS	ENSG00000010404
ZNF200	ENSG00000010539
CD4	ENSG00000010610
LRRC23	ENSG00000010626
BTK	ENSG00000010671
HFE	ENSG00000010704
SCMH1	ENSG00000010803
FYN	ENSG00000010810
HIVEP2	ENSG00000010818
ELOA	ENSG00000011007
LYPLA2	ENSG00000011009
CLCN6	ENSG00000011021
MRC2	ENSG00000011028
NME1-NME2	ENSG00000011052
TSPAN9	ENSG00000011105
BTBD7	ENSG00000011114
APBA3	ENSG00000011132
MKS1	ENSG00000011143
ABHD5	ENSG00000011198
AKAP8L	ENSG00000011243
MBTD1	ENSG00000011258
UTP18	ENSG00000011260
RNF216	ENSG00000011275
TTC19	ENSG00000011295
PTBP1	ENSG00000011304
LARS2	ENSG00000011376
PIK3C2A	ENSG00000011405
PLAUR	ENSG00000011422
ANLN	ENSG00000011426
WIZ	ENSG00000011451
RABGAP1	ENSG00000011454
QPCTL	ENSG00000011478
PPP5C	ENSG00000011485
CEP68	ENSG00000011523
MAP4K3	ENSG00000011566
ZBTB32	ENSG00000011590
TYROBP	ENSG00000011600
TMEM159	ENSG00000011638
BRCA1	ENSG00000012048
ERCC1	ENSG00000012061
CD22	ENSG00000012124
MBTPS2	ENSG00000012174
PRICKLE3	ENSG00000012211
LTF	ENSG00000012223
EXTL3	ENSG00000012232
ELOVL5	ENSG00000012660
ALOX5	ENSG00000012779
KDM5D	ENSG00000012817
CALCOCO1	ENSG00000012822
UBR7	ENSG00000012963
MAP4K5	ENSG00000012983
EHD3	ENSG00000013016
PSMC4	ENSG00000013275
MAN2B2	ENSG00000013288
SLC25A39	ENSG00000013306
MVP	ENSG00000013364
NUB1	ENSG00000013374
PGM3	ENSG00000013375
RWDD2A	ENSG00000013392
CLK1	ENSG00000013441
POLR3B	ENSG00000013503
ANGEL1	ENSG00000013523
RNF14	ENSG00000013561
DNASE1L1	ENSG00000013563
DDX11	ENSG00000013573
HEBP1	ENSG00000013583
CD6	ENSG00000013725
TACC3	ENSG00000013810
UFL1	ENSG00000014123
POLA2	ENSG00000014138
ZC3H3	ENSG00000014164
CAPN1	ENSG00000014216
ACPP	ENSG00000014257
MDH1	ENSG00000014641
SLC30A9	ENSG00000014824
MTMR11	ENSG00000014914
COX15	ENSG00000014919
CCDC88C	ENSG00000015133
YAF2	ENSG00000015153
ZMYND11	ENSG00000015171
WAS	ENSG00000015285
BID	ENSG00000015475
MATR3	ENSG00000015479
XYLT2	ENSG00000015532
RGPD5	ENSG00000015568
NUDCD3	ENSG00000015676
CHDH	ENSG00000016391
GLT8D1	ENSG00000016864
ATP2C1	ENSG00000017260
SLC38A5	ENSG00000017483
RALBP1	ENSG00000017797
RUFY3	ENSG00000018189
CNTN1	ENSG00000018236
SLC11A1	ENSG00000018280
WWTR1	ENSG00000018408
AGPS	ENSG00000018510
CXorf56	ENSG00000018610
TTC27	ENSG00000018699
ZNF582	ENSG00000018869
VSIG2	ENSG00000019102
PHLDB1	ENSG00000019144
MARCO	ENSG00000019169
PRDM11	ENSG00000019485
CD74	ENSG00000019582
HGF	ENSG00000019991
ZRANB1	ENSG00000019995
NCDN	ENSG00000020129
ADGRA2	ENSG00000020181
ZFP64	ENSG00000020256
MNAT1	ENSG00000020426
SAMD4A	ENSG00000020577
RUNX3	ENSG00000020633
MRE11	ENSG00000020922
PLEKHB1	ENSG00000021300
SERPINB1	ENSG00000021355
SPAST	ENSG00000021574
NRXN3	ENSG00000021645
OSBPL5	ENSG00000021762
AQR	ENSG00000021776
CPS1	ENSG00000021826
FHL1	ENSG00000022267
RTFDC1	ENSG00000022277
NLRP2	ENSG00000022556
SLC45A4	ENSG00000022567
RNF10	ENSG00000022840
ZNF839	ENSG00000022976
ZDHHC6	ENSG00000023041
GRAMD1B	ENSG00000023171
RNH1	ENSG00000023191
NDUFS1	ENSG00000023228
RB1CC1	ENSG00000023287
ERP44	ENSG00000023318
ALAS1	ENSG00000023330
BIRC3	ENSG00000023445
AKAP11	ENSG00000023516
GLRX2	ENSG00000023572
SNAPC1	ENSG00000023608
DERA	ENSG00000023697
STRAP	ENSG00000023734
ABCC2	ENSG00000023839
DEF6	ENSG00000023892
PLEKHO1	ENSG00000023902
GCLM	ENSG00000023909
UBR2	ENSG00000024048
EHD2	ENSG00000024422
DEPDC1	ENSG00000024526
CCDC28A	ENSG00000024862
RRAGD	ENSG00000025039
HSF2	ENSG00000025156
PHF20	ENSG00000025293
NR1H3	ENSG00000025434
TYMP	ENSG00000025708
NCAPH2	ENSG00000025770
TOMM34	ENSG00000025772
SEC63	ENSG00000025796
KPNA6	ENSG00000025800
VIM	ENSG00000026025
RTEL1-TNFRSF6B	ENSG00000026036
FAS	ENSG00000026103
RNASET2	ENSG00000026297
CD44	ENSG00000026508
AGPAT4	ENSG00000026652
SLAMF7	ENSG00000026751
BTN3A1	ENSG00000026950
MIPEP	ENSG00000027001
PRKCH	ENSG00000027075
IFNGR1	ENSG00000027697
B4GALT7	ENSG00000027847
SH2D2A	ENSG00000027869
VRK2	ENSG00000028116
TNFRSF1B	ENSG00000028137
VEZT	ENSG00000028203
POU2F2	ENSG00000028277
BRD9	ENSG00000028310
SNX1	ENSG00000028528
TBPL1	ENSG00000028839
ARNTL2	ENSG00000029153
BCLAF1	ENSG00000029363
SLC39A9	ENSG00000029364
ANK1	ENSG00000029534
TFB1M	ENSG00000029639
RABEP1	ENSG00000029725
HMGB3	ENSG00000029993
NUP160	ENSG00000030066
BAK1	ENSG00000030110
IKZF2	ENSG00000030419
GRN	ENSG00000030582
FAM13B	ENSG00000031003
ARHGAP31	ENSG00000031081
CENPQ	ENSG00000031691
SARS	ENSG00000031698
RANBP3	ENSG00000031823
ARID4A	ENSG00000032219
TSSC1	ENSG00000032389
PNPLA6	ENSG00000032444
IFT88	ENSG00000032742
ALG1	ENSG00000033011
ZCCHC8	ENSG00000033030
ABCF2	ENSG00000033050
CHPF2	ENSG00000033100
LRRC7	ENSG00000033122
FUT8	ENSG00000033170
UBA6	ENSG00000033178
GAB2	ENSG00000033327
ATP6V0A1	ENSG00000033627
PIAS1	ENSG00000033800
SLC4A7	ENSG00000033867
APBA2	ENSG00000034053
MAP2K3	ENSG00000034152
TMSB10	ENSG00000034510
ASTE1	ENSG00000034533
RNF19A	ENSG00000034677
PEX3	ENSG00000034693
GABARAPL2	ENSG00000034713
SH3YL1	ENSG00000035115
FAM136A	ENSG00000035141
VCL	ENSG00000035403
DEPDC1B	ENSG00000035499
DAPK2	ENSG00000035664
NSMAF	ENSG00000035681
ADSS	ENSG00000035687
STAP1	ENSG00000035720
TIMP2	ENSG00000035862
RFC1	ENSG00000035928
TBC1D23	ENSG00000036054
CUL3	ENSG00000036257
MYOM2	ENSG00000036448
ZZZ3	ENSG00000036549
TUBG2	ENSG00000037042
RPL26L1	ENSG00000037241
FLT4	ENSG00000037280
NSUN2	ENSG00000037474
FBXO42	ENSG00000037637
MFAP3	ENSG00000037749
MRI1	ENSG00000037757
METTL1	ENSG00000037897
AGA	ENSG00000038002
PI4K2B	ENSG00000038210
BOD1L1	ENSG00000038219
MAT2B	ENSG00000038274
EDC4	ENSG00000038358
TRIO	ENSG00000038382
VCAN	ENSG00000038427
CLEC16A	ENSG00000038532
MSR1	ENSG00000038945
CDH1	ENSG00000039068
SKIV2L2	ENSG00000039123
ZFYVE16	ENSG00000039319
RIPOR1	ENSG00000039523
RAI14	ENSG00000039560
PNKP	ENSG00000039650
PHLPP2	ENSG00000040199
SPDL1	ENSG00000040275
STAU2	ENSG00000040341
PQLC2	ENSG00000040487
CTNS	ENSG00000040531
RTN4R	ENSG00000040608
PHF23	ENSG00000040633
INPP4A	ENSG00000040933
RAB27B	ENSG00000041353
PSMA4	ENSG00000041357
MYO16	ENSG00000041515
LSG1	ENSG00000041802
PARP3	ENSG00000041880
TNC	ENSG00000041982
THAP3	ENSG00000041988
RIPOR3	ENSG00000042062
TDP1	ENSG00000042088
AIFM2	ENSG00000042286
SPATA7	ENSG00000042317
MED17	ENSG00000042429
RETSAT	ENSG00000042445
CAPG	ENSG00000042493
AP2S1	ENSG00000042753
USH2A	ENSG00000042781
TG	ENSG00000042832
ADAM28	ENSG00000042980
DCUN1D1	ENSG00000043093
JADE2	ENSG00000043143
LCP2	ENSG00000043462
TRIT1	ENSG00000043514
ADRB1	ENSG00000043591
CUL7	ENSG00000044090
CTNNA1	ENSG00000044115
PHKA2	ENSG00000044446
CNTLN	ENSG00000044459
HSPA5	ENSG00000044574
DSG2	ENSG00000046604
GEMIN8	ENSG00000046647
OFD1	ENSG00000046651
GPM6B	ENSG00000046653
PREX2	ENSG00000046889
WDR37	ENSG00000047056
YTHDC2	ENSG00000047188
CTPS2	ENSG00000047230
ATP6V1H	ENSG00000047249
POLR2B	ENSG00000047315
FAM214A	ENSG00000047346
ARAP2	ENSG00000047365
TPR	ENSG00000047410
CP	ENSG00000047457
KIAA0556	ENSG00000047578
DTNBP1	ENSG00000047579
XK	ENSG00000047597
C12orf4	ENSG00000047621
SCML1	ENSG00000047634
WWC3	ENSG00000047644
ARHGAP6	ENSG00000047648
FAM184B	ENSG00000047662
MAP4	ENSG00000047849
GOPC	ENSG00000047932
ROS1	ENSG00000047936
USP28	ENSG00000048028
HDAC9	ENSG00000048052
TSPAN17	ENSG00000048140
NOP16	ENSG00000048162
CC2D2A	ENSG00000048342
RRM2B	ENSG00000048392
ZNF800	ENSG00000048405
SNX29	ENSG00000048471
LMO3	ENSG00000048540
MRPS10	ENSG00000048544
RSF1	ENSG00000048649
VPS13D	ENSG00000048707
CELF2	ENSG00000048740
FAM120A	ENSG00000048828
R3HDM1	ENSG00000048991
COL9A2	ENSG00000049089
KITLG	ENSG00000049130
ERCC8	ENSG00000049167
ADAMTS6	ENSG00000049192
H6PD	ENSG00000049239
VAMP3	ENSG00000049245
PER3	ENSG00000049246
UTS2	ENSG00000049247
TNFRSF9	ENSG00000049249
LTBP1	ENSG00000049323
RCN1	ENSG00000049449
ELN	ENSG00000049540
RFC2	ENSG00000049541
ARID1B	ENSG00000049618
CLPTM1L	ENSG00000049656
NEDD4L	ENSG00000049759
PPP1R3F	ENSG00000049769
HEXB	ENSG00000049860
PTCD2	ENSG00000049883
JKAMP	ENSG00000050130
ARHGEF5	ENSG00000050327
NFE2L3	ENSG00000050344
MCUR1	ENSG00000050393
LIMA1	ENSG00000050405
LETMD1	ENSG00000050426
SLC4A8	ENSG00000050438
PTGER3	ENSG00000050628
MAPK9	ENSG00000050748
COL23A1	ENSG00000050767
FAM160A2	ENSG00000051009
HERPUD1	ENSG00000051108
HOMER3	ENSG00000051128
RAD51	ENSG00000051180
POLQ	ENSG00000051341
PIK3CB	ENSG00000051382
CYBA	ENSG00000051523
THOC3	ENSG00000051596
HEBP2	ENSG00000051620
MPHOSPH9	ENSG00000051825
PLEKHA5	ENSG00000052126
SIKE1	ENSG00000052723
RRP12	ENSG00000052749
FNIP2	ENSG00000052795
MSMO1	ENSG00000052802
TTC17	ENSG00000052841
FOXN3	ENSG00000053254
AKR7A2	ENSG00000053371
MRTO4	ENSG00000053372
NNAT	ENSG00000053438
USE1	ENSG00000053501
MCF2L2	ENSG00000053524
NRIP2	ENSG00000053702
LAMA3	ENSG00000053747
AP5M1	ENSG00000053770
ANAPC4	ENSG00000053900
KCNQ1	ENSG00000053918
TRAPPC3	ENSG00000054116
THRAP3	ENSG00000054118
PHPT1	ENSG00000054148
LY75	ENSG00000054219
ARID4B	ENSG00000054267
OPN3	ENSG00000054277
SDCCAG8	ENSG00000054282
HHAT	ENSG00000054392
KIF1B	ENSG00000054523
FOXC1	ENSG00000054598
TBC1D22A	ENSG00000054611
SYNE2	ENSG00000054654
PLEKHH1	ENSG00000054690
ATP9A	ENSG00000054793
FAM168A	ENSG00000054965
RELT	ENSG00000054967
GALC	ENSG00000054983
NOP58	ENSG00000055044
SZRD1	ENSG00000055070
KCNH2	ENSG00000055118
CUL1	ENSG00000055130
FAM114A2	ENSG00000055147
CYFIP2	ENSG00000055163
TAB2	ENSG00000055208
GINM1	ENSG00000055211
EIF2AK2	ENSG00000055332
USP36	ENSG00000055483
KMT2C	ENSG00000055609
PUM2	ENSG00000055917
MRPL43	ENSG00000055950
ITIH4	ENSG00000055955
HPF1	ENSG00000056050
ZFR	ENSG00000056097
ZNF280C	ENSG00000056277
TRAF1	ENSG00000056558
RC3H2	ENSG00000056586
IL17RB	ENSG00000056736
TRAF3IP2	ENSG00000056972
GYG2	ENSG00000056998
DCBLD2	ENSG00000057019
SOAT1	ENSG00000057252
PKP2	ENSG00000057294
GDI2	ENSG00000057608
PRDM1	ENSG00000057657
ATG5	ENSG00000057663
TMCC3	ENSG00000057704
PITHD1	ENSG00000057757
MTA3	ENSG00000057935
USP13	ENSG00000058056
ATP11B	ENSG00000058063
CDK14	ENSG00000058091
SEC61A1	ENSG00000058262
PPP1R12A	ENSG00000058272
CROCC	ENSG00000058453
POLR3E	ENSG00000058600
ATP2B4	ENSG00000058668
ZC3H11A	ENSG00000058673
RIOK2	ENSG00000058729
YIPF1	ENSG00000058799
NDC1	ENSG00000058804
DGKG	ENSG00000058866
FLYWCH1	ENSG00000059122
UNKL	ENSG00000059145
TBXAS1	ENSG00000059377
PARP12	ENSG00000059378
ALDH18A1	ENSG00000059573
TARBP1	ENSG00000059588
GATB	ENSG00000059691
MXD1	ENSG00000059728
CDK17	ENSG00000059758
DNAJC25	ENSG00000059769
SLC2A3	ENSG00000059804
PSD	ENSG00000059915
CTDP1	ENSG00000060069
YBX3	ENSG00000060138
STYK1	ENSG00000060140
WNK1	ENSG00000060237
CCAR1	ENSG00000060339
OGFR	ENSG00000060491
GNA15	ENSG00000060558
PIGV	ENSG00000060642
PTPRU	ENSG00000060656
SNRNP40	ENSG00000060688
COL11A1	ENSG00000060718
QSER1	ENSG00000060749
MPC1	ENSG00000060762
ACAA1	ENSG00000060971
BCAT1	ENSG00000060982
HDAC7	ENSG00000061273
SPAG4	ENSG00000061656
NCKAP1	ENSG00000061676
MRPS35	ENSG00000061794
GUCY1B3	ENSG00000061918
SFSWAP	ENSG00000061936
TNK2	ENSG00000061938
MON2	ENSG00000061987
GPBP1	ENSG00000062194
DGAT2	ENSG00000062282
ZNF112	ENSG00000062370
CS	ENSG00000062485
LTK	ENSG00000062524
MRPS24	ENSG00000062582
ELMO2	ENSG00000062598
WAPL	ENSG00000062650
VMP1	ENSG00000062716
APPBP2	ENSG00000062725
POLD1	ENSG00000062822
SEZ6	ENSG00000063015
EIF4B	ENSG00000063046
SLC6A16	ENSG00000063127
BICRA	ENSG00000063169
SPHK2	ENSG00000063176
RPL18	ENSG00000063177
ISOC2	ENSG00000063241
U2AF2	ENSG00000063244
EPN1	ENSG00000063245
MED29	ENSG00000063322
AHRR	ENSG00000063438
ZNF275	ENSG00000063587
MTMR1	ENSG00000063601
GPC1	ENSG00000063660
ADCK1	ENSG00000063761
HAGH	ENSG00000063854
RNF4	ENSG00000063978
CASP8	ENSG00000064012
INTS13	ENSG00000064102
TM7SF3	ENSG00000064115
SPA17	ENSG00000064199
TSPAN32	ENSG00000064201
ST3GAL6	ENSG00000064225
ATP2C2	ENSG00000064270
TAF2	ENSG00000064313
HIPK2	ENSG00000064393
TNPO3	ENSG00000064419
BORCS8-MEF2B	ENSG00000064489
RFXANK	ENSG00000064490
TMEM161A	ENSG00000064545
LPAR2	ENSG00000064547
CTSA	ENSG00000064601
SUGP2	ENSG00000064607
SLC12A2	ENSG00000064651
SNX24	ENSG00000064652
CNN2	ENSG00000064666
ABCA7	ENSG00000064687
SNCAIP	ENSG00000064692
DDX20	ENSG00000064703
BTBD1	ENSG00000064726
FAR2	ENSG00000064763
CHI3L2	ENSG00000064886
SBNO2	ENSG00000064932
PMS1	ENSG00000064933
HMG20B	ENSG00000064961
CALCRL	ENSG00000064989
TAF11	ENSG00000064995
ANKS1A	ENSG00000064999
AP3D1	ENSG00000065000
ZNF76	ENSG00000065029
SLC9A3R2	ENSG00000065054
NTHL1	ENSG00000065057
UHRF1BP1	ENSG00000065060
GNAI3	ENSG00000065135
IPO5	ENSG00000065150
OAT	ENSG00000065154
WDR3	ENSG00000065183
PKN2	ENSG00000065243
WDR18	ENSG00000065268
TRAM2	ENSG00000065308
NTN1	ENSG00000065320
MCM10	ENSG00000065328
DGKA	ENSG00000065357
ANKRD44	ENSG00000065413
KARS	ENSG00000065427
ADAT1	ENSG00000065457
PDIA5	ENSG00000065485
TBC1D22B	ENSG00000065491
NDUFB4	ENSG00000065518
SPEN	ENSG00000065526
MYLK	ENSG00000065534
ZC3H15	ENSG00000065548
MAP2K4	ENSG00000065559
TMEM206	ENSG00000065600
SLK	ENSG00000065613
CYB5R4	ENSG00000065615
COL17A1	ENSG00000065618
GSTO2	ENSG00000065621
SEC61A2	ENSG00000065665
PRKCQ	ENSG00000065675
ASB1	ENSG00000065802
FAM107B	ENSG00000065809
ME1	ENSG00000065833
TBC1D1	ENSG00000065882
CDK13	ENSG00000065883
MTHFD2	ENSG00000065911
SLC9A7	ENSG00000065923
FOXJ2	ENSG00000065970
YBX1	ENSG00000065978
PDE4A	ENSG00000065989
PPP2R5A	ENSG00000066027
ELAVL1	ENSG00000066044
TIE1	ENSG00000066056
DIP2B	ENSG00000066084
SMARCD1	ENSG00000066117
KDM4A	ENSG00000066135
NFYC	ENSG00000066136
SLC9A3	ENSG00000066230
ASPM	ENSG00000066279
CD84	ENSG00000066294
ELOVL1	ENSG00000066322
SPI1	ENSG00000066336
ZNRD1	ENSG00000066379
ZBTB11	ENSG00000066422
ATXN3	ENSG00000066427
GOLGA5	ENSG00000066455
LRRC40	ENSG00000066557
ISOC1	ENSG00000066583
TRMT11	ENSG00000066651
THUMPD1	ENSG00000066654
MSANTD3	ENSG00000066697
KIF26A	ENSG00000066735
ATG2B	ENSG00000066739
ARFGEF1	ENSG00000066777
ZFAT	ENSG00000066827
MTFR1	ENSG00000066855
STAG3	ENSG00000066923
FECH	ENSG00000066926
MYO9A	ENSG00000066933
DDX3Y	ENSG00000067048
PFKP	ENSG00000067057
IDI1	ENSG00000067064
SP100	ENSG00000067066
KLF6	ENSG00000067082
PLPP1	ENSG00000067113
NEO1	ENSG00000067141
TRAM1	ENSG00000067167
PHKA1	ENSG00000067177
TNFRSF1A	ENSG00000067182
CACNB1	ENSG00000067191
EVI5	ENSG00000067208
STOML1	ENSG00000067221
PKM	ENSG00000067225
DHX29	ENSG00000067248
DNTTIP2	ENSG00000067334
METTL22	ENSG00000067365
TP53BP1	ENSG00000067369
TRO	ENSG00000067445
RRP15	ENSG00000067533
RHOA	ENSG00000067560
DHX8	ENSG00000067596
PMS2P4	ENSG00000067601
PRKCZ	ENSG00000067606
ZFY	ENSG00000067646
IARS2	ENSG00000067704
NAV3	ENSG00000067798
IDH3G	ENSG00000067829
ROGDI	ENSG00000067836
PDZD4	ENSG00000067840
ROCK1	ENSG00000067900
CBFB	ENSG00000067955
PDK3	ENSG00000067992
HYAL2	ENSG00000068001
HDAC4	ENSG00000068024
RASSF1	ENSG00000068028
FGFR3	ENSG00000068078
IFI35	ENSG00000068079
HEATR6	ENSG00000068097
COASY	ENSG00000068120
PLEKHH3	ENSG00000068137
MEF2A	ENSG00000068305
OTUD5	ENSG00000068308
TFE3	ENSG00000068323
TBC1D25	ENSG00000068354
ACSL4	ENSG00000068366
INPP5A	ENSG00000068383
GPKOW	ENSG00000068394
GRIPAP1	ENSG00000068400
FTSJ1	ENSG00000068438
PRR11	ENSG00000068489
ATP11A	ENSG00000068650
POLR1A	ENSG00000068654
LAPTM4A	ENSG00000068697
TTC7A	ENSG00000068724
IP6K2	ENSG00000068745
STON1-GTF2A1L	ENSG00000068781
SRBD1	ENSG00000068784
KIF2A	ENSG00000068796
RASGRP2	ENSG00000068831
PSME4	ENSG00000068878
IFT80	ENSG00000068885
SIRT2	ENSG00000068903
ERLEC1	ENSG00000068912
PPP2R5B	ENSG00000068971
PYGM	ENSG00000068976
PITX1	ENSG00000069011
MAST4	ENSG00000069020
SDK2	ENSG00000069188
NUP133	ENSG00000069248
NUCKS1	ENSG00000069275
VPS35	ENSG00000069329
DNAJA2	ENSG00000069345
BCL3	ENSG00000069399
KCNAB2	ENSG00000069424
CLEC2D	ENSG00000069493
FUNDC1	ENSG00000069509
RORA	ENSG00000069667
TGFBR3	ENSG00000069702
KIAA1107	ENSG00000069712
ATP1B3	ENSG00000069849
NEDD4	ENSG00000069869
PIGB	ENSG00000069943
MAPK6	ENSG00000069956
GNB5	ENSG00000069966
RAB27A	ENSG00000069974
HDHD5	ENSG00000069998
UFD1	ENSG00000070010
LRP6	ENSG00000070018
PHRF1	ENSG00000070047
IKBKAP	ENSG00000070061
NUCB2	ENSG00000070081
PFN2	ENSG00000070087
SPTB	ENSG00000070182
DAPP1	ENSG00000070190
FGF10	ENSG00000070193
SLC44A1	ENSG00000070214
TMEM260	ENSG00000070269
SMG6	ENSG00000070366
EXOC5	ENSG00000070367
CLTCL1	ENSG00000070371
FSTL3	ENSG00000070404
DGCR2	ENSG00000070413
RNF126	ENSG00000070423
MNT	ENSG00000070444
ZXDC	ENSG00000070476
JMJD6	ENSG00000070495
POLB	ENSG00000070501
ST6GALNAC1	ENSG00000070526
WIPI1	ENSG00000070540
GBA2	ENSG00000070610
NDST1	ENSG00000070614
ASNS	ENSG00000070669
AP3M2	ENSG00000070718
ST6GALNAC2	ENSG00000070731
PABPC1	ENSG00000070756
TESK2	ENSG00000070759
CFAP20	ENSG00000070761
CSNK2A2	ENSG00000070770
EIF2B3	ENSG00000070785
TCOF1	ENSG00000070814
CDC42	ENSG00000070831
OSBPL3	ENSG00000070882
